Path,Status,GSC_URL,Clicks,Impressions,Redirect_Destination
"/pasang-alarm-motor-surabaya-pasang-gps-motor-surabaya","Both","https://www.kotacom.id/pasang-alarm-motor-surabaya-pasang-gps-motor-surabaya","28","729",""
"/jasa-install-software-kasir-cloud-bisa-online-ipos-5-surabaya","Both","https://www.kotacom.id/jasa-install-software-kasir-cloud-bisa-online-ipos-5-surabaya","27","1272",""
"/jasa-pasang-peredam-suara-surabaya-karaoke-home-theater","Both","https://www.kotacom.id/jasa-pasang-peredam-suara-surabaya-karaoke-home-theater","25","1379",""
"/paket-home-karaoke-eksklusif-vip-laptop-komputer-jasa-pemasangan","Both","https://www.kotacom.id/paket-home-karaoke-eksklusif-vip-laptop-komputer-jasa-pemasangan","24","837",""
"/percetakan-buku-murah-surabaya","Both","https://www.kotacom.id/percetakan-buku-murah-surabaya","24","1112",""
"/panduan-rakit-pc-3-jutaan-terbaik-update-2025-all-new-build","Both","https://www.kotacom.id/panduan-rakit-pc-3-jutaan-terbaik-update-2025-all-new-build","22","1853",""
"/rakit-pc-1-jutaan-di-2025-realistis-atau-mustahil","Both","https://www.kotacom.id/rakit-pc-1-jutaan-di-2025-realistis-atau-mustahil","22","4010",""
"/jasa-install-dan-update-windows-10-surabaya-murah","Both","https://www.kotacom.id/jasa-install-dan-update-windows-10-surabaya-murah","21","4013",""
"/jasa-sewa-laptop-surabaya","Both","https://www.kotacom.id/jasa-sewa-laptop-surabaya","21","3619",""
"/service-komputer-surabaya-panggilan","Both","https://www.kotacom.id/service-komputer-surabaya-panggilan","21","6114",""
"/sewa-karaoke-surabaya-gresik-malang-sidoarjo-pacet-trawas-jawatimur","Both","https://www.kotacom.id/sewa-karaoke-surabaya-gresik-malang-sidoarjo-pacet-trawas-jawatimur","21","886",""
"/jasa-install-windows-11-sidoarjo","Both","https://www.kotacom.id/jasa-install-windows-11-sidoarjo","20","1129",""
"/jasa-install-windows-11-surabaya","Both","https://www.kotacom.id/jasa-install-windows-11-surabaya","20","1125",""
"/jasa-install-ulang-windows-10-surabaya-panggilan","Both","https://www.kotacom.id/jasa-install-ulang-windows-10-surabaya-panggilan","19","1468",""
"/rakit-pc-10-jutaan-2025-dominasi-gaming-1440p-produktivitas","Both","https://www.kotacom.id/rakit-pc-10-jutaan-2025-dominasi-gaming-1440p-produktivitas","19","1406",""
"/isi-game-pc-surabaya","Both","https://www.kotacom.id/isi-game-pc-surabaya","18","518",""
"/jasa-install-windows-7-8-10-11-sidoarjo","Both","https://www.kotacom.id/jasa-install-windows-7-8-10-11-sidoarjo","18","895",""
"/rakit-pc-6-jutaan-2025-mesin-gaming-1080p-high-setting-terbaik","Both","https://www.kotacom.id/rakit-pc-6-jutaan-2025-mesin-gaming-1080p-high-setting-terbaik","18","694",""
"/terbaik-rakit-pc-4-jutaan-terbaik-2025","Both","https://www.kotacom.id/terbaik-rakit-pc-4-jutaan-terbaik-2025","18","1424",""
"/jasa-instal-software-surabaya-windows-macbook","Both","https://www.kotacom.id/jasa-instal-software-surabaya-windows-macbook","16","1205",""
"/jasa-install-ulang-windows-8-8-1-surabaya","Both","https://www.kotacom.id/jasa-install-ulang-windows-8-8-1-surabaya","16","3943",""
"/jasa-service-komputer-laptop-notebook-macbook-surabaya","Both","https://www.kotacom.id/jasa-service-komputer-laptop-notebook-macbook-surabaya","16","1248",""
"/rakit-pc-gaming-fullset-10-jutaan","Both","https://www.kotacom.id/rakit-pc-gaming-fullset-10-jutaan","16","1822",""
"/jasa-cetak-buku-sidoarjo","Both","https://www.kotacom.id/jasa-cetak-buku-sidoarjo","15","453","/"
"/jasa-rakit-pc-unbk-server-client-terbaik-termurah","Both","https://www.kotacom.id/jasa-rakit-pc-unbk-server-client-terbaik-termurah","15","2647",""
"/jasa-install-autocad-2010-2013-2016-surabaya-sidoarjo","Both","https://www.kotacom.id/jasa-install-autocad-2010-2013-2016-surabaya-sidoarjo","14","322",""
"/jasa-install-game-pc-laptop-xbox-ps3-ps4-lengkap-dan-update-jasa-install-game-pc-laptop-xbox-ps3-ps4-surabaya-sidoarjo","Both","https://www.kotacom.id/jasa-install-game-pc-laptop-xbox-ps3-ps4-lengkap-dan-update-jasa-install-game-pc-laptop-xbox-ps3-ps4-surabaya-sidoarjo","14","844",""
"/jasa-install-microsoft-office-cepat-dan-bergaransi","Both","https://www.kotacom.id/jasa-install-microsoft-office-cepat-dan-bergaransi","14","1511",""
"/jasa-service-macbook-surabaya-bisa-ditunggu","Both","https://www.kotacom.id/jasa-service-macbook-surabaya-bisa-ditunggu","14","3599",""
"/jasa-upgrade-ssd-laptop-surabaya-mac-imac-sidoarjo-malang-gresik","Both","https://www.kotacom.id/jasa-upgrade-ssd-laptop-surabaya-mac-imac-sidoarjo-malang-gresik","14","1234",""
"/printer-gagal-menarik-kertas-ini-5-penyebab-dan-cara-mengatasinya","Both","https://www.kotacom.id/printer-gagal-menarik-kertas-ini-5-penyebab-dan-cara-mengatasinya","14","2712",""
"/rekomendasi-pc-rakitan-1-jutaan","Both","https://www.kotacom.id/rekomendasi-pc-rakitan-1-jutaan","14","4218",""
"/jasa-install-game-surabaya","Both","https://www.kotacom.id/jasa-install-game-surabaya","13","373",""
"/hubungi-kami","GSC Only","https://www.kotacom.id/hubungi-kami","13","436","/contact"
"/jasa-install-solidworks","Both","https://www.kotacom.id/jasa-install-solidworks","12","333",""
"/jasa-pasang-ac-surabaya-bergaransi-professional-jawa-timur","Both","https://www.kotacom.id/jasa-pasang-ac-surabaya-bergaransi-professional-jawa-timur","12","4140",""
"/jasa-pasang-software-kasir-minimarket-point-of-sales-surabaya","Both","https://www.kotacom.id/jasa-pasang-software-kasir-minimarket-point-of-sales-surabaya","12","1099",""
"/jual-dvd-windows-7-8-1-10-pro-original-license-asli-microsoft","Both","https://www.kotacom.id/jual-dvd-windows-7-8-1-10-pro-original-license-asli-microsoft","12","461",""
"/no-1-jual-game-pc-kebumen","Both","https://www.kotacom.id/no-1-jual-game-pc-kebumen","12","204",""
"/rakit-pc-gaming-5-jutaan-fullset","Both","https://www.kotacom.id/rakit-pc-gaming-5-jutaan-fullset","12","1577",""
"/jasa-cetak-buku-mojokerto","Both","https://www.kotacom.id/jasa-cetak-buku-mojokerto","11","597","/"
"/jasa-install-software-corel-draw-terbaru-x5-x6-x7-x8-surabaya-full-panggilan","Both","https://www.kotacom.id/jasa-install-software-corel-draw-terbaru-x5-x6-x7-x8-surabaya-full-panggilan","11","232",""
"/no-1-jual-game-pc-bekasi","Both","https://www.kotacom.id/no-1-jual-game-pc-bekasi","11","135",""
"/rekomendasi-jual-game-pc-cilegon","Both","https://www.kotacom.id/rekomendasi-jual-game-pc-cilegon","11","341",""
"/jasa-instal-game-pes-2017-terbaru-surabaya-sidoarjo","Both","https://www.kotacom.id/jasa-instal-game-pes-2017-terbaru-surabaya-sidoarjo","10","202",""
"/jasa-pembuatan-website-surabaya","Both","https://www.kotacom.id/jasa-pembuatan-website-surabaya","10","11038",""
"/no-1-jual-game-pc-purwakarta","Both","https://www.kotacom.id/no-1-jual-game-pc-purwakarta","10","203",""
"/panduan-lengkap-cara-menyiapkan-file-pdf-siap-cetak-untuk-buku","Both","https://www.kotacom.id/panduan-lengkap-cara-menyiapkan-file-pdf-siap-cetak-untuk-buku","10","772",""
"/rekomendasi-jual-game-pc-jember","Both","https://www.kotacom.id/rekomendasi-jual-game-pc-jember","10","240",""
"/terbaik-jual-game-pc-malang","Both","https://www.kotacom.id/terbaik-jual-game-pc-malang","10","344",""
"/terbaik-jual-game-pc-tangerang-selatan","Both","https://www.kotacom.id/terbaik-jual-game-pc-tangerang-selatan","10","496",""
"/jasa-cetak-buku-samarinda","Both","https://www.kotacom.id/jasa-cetak-buku-samarinda","9","731","/"
"/jasa-install-adobe-photoshop-online-solusi-cepat-untuk-kreativitas-anda","Both","https://www.kotacom.id/jasa-install-adobe-photoshop-online-solusi-cepat-untuk-kreativitas-anda","9","218",""
"/no-1-jual-game-pc-jombang","Both","https://www.kotacom.id/no-1-jual-game-pc-jombang","9","128",""
"/paket-home-karaoke-komputer-karaoke-murah-low-budget-rumahan","Both","https://www.kotacom.id/paket-home-karaoke-komputer-karaoke-murah-low-budget-rumahan","9","633",""
"/terbaik-jual-game-pc-kediri","Both","https://www.kotacom.id/terbaik-jual-game-pc-kediri","9","55",""
"/jasa-cetak-buku-jeneponto","Both","https://www.kotacom.id/jasa-cetak-buku-jeneponto","8","203","/"
