page,oldPath,clicks,impressions,priorityScore,seoPriorityAction,migrationAction,suggestedTargetPath,legacyType,mappingConfidence,verdict,indexingState,coverageState,inspectionError,statusCode,title,metaDescription,canonical,robots,metadataIssues,fetchError,readiness
https://www.kotacom.id/tag/jual-dvd-game-pc-malang,/tag/jual-dvd-game-pc-malang,0,3,14.87,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/blog/digitalisasi-umkm-surabaya-sidoarjo-terbaik-2025,/blog/digitalisasi-umkm-surabaya-sidoarjo-terbaik-2025,0,15,14.82,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product-tag/rakit-pc-office-and-tagged-jasa-rakit-pc-gresik/page/2,/product-tag/rakit-pc-office-and-tagged-jasa-rakit-pc-gresik/page/2,0,7,14.78,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/jual-pc-rakitan-murah-nganjuk,/tag/jual-pc-rakitan-murah-nganjuk,0,6,14.78,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/service-macbook-murah-nganjuk,/tag/service-macbook-murah-nganjuk,0,7,14.78,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product-category/rakit-pc/page/1,/product-category/rakit-pc/page/1,0,10,14.77,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/product/pc-gaming-intel-core-i7-6700-ram-32gb-ddr4-vga-8gb-ddr5-hdd-1tbssd-8gb-ddr4-vga-onboard-hd,/product/pc-gaming-intel-core-i7-6700-ram-32gb-ddr4-vga-8gb-ddr5-hdd-1tbssd-8gb-ddr4-vga-onboard-hd,0,48,14.76,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/posts/toko-online-surabaya,/posts/toko-online-surabaya,0,38,14.69,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,200,Jasa Pembuatan Toko Online Surabaya - E-commerce Website Terbaik - kotacom.id,"Jasa pembuatan toko online profesional di Surabaya. Website e-commerce responsive, payment gateway lengkap, sistem inventory otomatis. Harga terjangkau!",https://kotacom.id/toko-online-surabaya/,"index, follow",title_too_long,,manual_mapping_required
https://www.kotacom.id/product-tag/jual-komputer-rakitan-bangil/page/2,/product-tag/jual-komputer-rakitan-bangil/page/2,0,9,14.69,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
https://www.kotacom.id/tag/jasa-install-ulang-lamongan,/tag/jasa-install-ulang-lamongan,0,6,14.65,improve_then_migrate,review_manual,,other_nested,low,NEUTRAL,INDEXING_STATE_UNSPECIFIED,URL tidak dikenali oleh Google,,404,404 - Page Not Found - kotacom.id,"IT Service &#38; Publications - Pengadaan, Service, Penjualan, Website Development, Software Development, Social Media Management",https://kotacom.id/404/,"index, follow",http_status_not_200,,manual_mapping_required
